IOL_2A,R,DPIO,3,2
IOL_2B,R,DPIO,3,1
IOL_4A,R,DPIO,3,5
IOL_4B_GBIN7,R,GBIN,3,6
IOL_5A_GBIN6,R,GBIN,3,8
IOL_5B,R,DPIO,3,7
CDONE,L,CONFIG,2,11
CRESET_B,L,CONFIG,2,10
IOB_24_SDO,R,SPI,SPI,12
IOB_25_SDI,R,SPI,SPI,13
IOB_26_SCK,R,SPI,SPI,15
IOB_27_SS,R,SPI,SPI,14
VCC_SPI,L,SPI,SPI,16
IOR_34,R,PIO,1,18
IOR_35_GBIN3,R,GBIN,1,19
IOR_36_GBIN2,R,GBIN,1,20
IOR_38,R,PIO,1,22
IOR_39,R,PIO,1,23
VPP_2V5,L,VPP,VPP,24
IOT_45,R,PIO,0,26
IOT_47,R,PIO,0,27
IOT_49_GBIN0,R,GBIN,0,29
IOT_50_GBIN1,R,GBIN,0,30
IOT_52,R,PIO,0,32
IOT_53,R,PIO,0,31
GND,L,GND,GND,3
GND,L,GND,GND,21
VCC,L,VCC,VCC,25
VCCIO_0,L,VCCIO,VCCIO,28
VCCIO_1,L,VCCIO,VCCIO,17
VCCIO_2,L,VCCIO,VCCIO,9
VCCIO_3,L,VCCIO,VCCIO,4
