IOB_0a,R,PIO,2,E5
IOB_2a,R,DPIO,2,D5
IOB_3b_G6,R,DPIO/GBIN,2,F5
IOB_9b,R,DPIO,2,E4
IOB_10a,R,DPIO,1,C3
IOB_11b_G5,R,DPIO/GBIN,1,F4
creset_b,L,CONFIG,1,F3
IOB_12a_G4_CDONE,R,CONFIG/DPIO/GBIN,1,D3
IOB_13b,R,DPIO,1,E3
IOB_24a,R,DPIO,1,B1
IOB_25b_G3,R,DPIO/GBIN,1,F2
IOB_32a_SPI_SO,R,DPIO/CONFIG_SPI,1,F1
IOB_33b_SPI_SI,R,DPIO/CONFIG_SPI,1,E1
IOB_34a_SPI_SCK,R,DPIO/CONFIG_SPI,1,D1
IOB_35b_SPI_SS,R,DPIO/CONFIG_SPI,1,C1
VCCPLL,L,VCCPLL,,B2
IOT_36b,R,DPIO/I3C,0,A1
IOT_37a,R,DPIO/I3C,0,A2
IOT_46b_G0,R,DPIO/GBIN,0,B3
IOT_47a,R,PIO,0,A4
RGB2,L,LED,0,C5
RGB1,L,LED,0,B5
RGB0,L,LED,0,A5
GND,L,GND,GND,B4
GND,L,GND,GND,E2
VCC,L,VCC,VCC,C2
VCCIO_0,L,VCCIO,0,A3
SPI_Vccio1,L,VCCIO,1,D2
VCCIO_2,L,VCCIO,2,C4
VPP_2V5,L,VPP,VPP,D4
